mission,sensor,scene_name,granule_id,acquisition_start,acquisition_end,processing_level,path,frame,absolute_orbit_number,orbit_direction,beam_mode,polarization,look_direction,collection_concept_id,granule_concept_id,download_url
ALOS,PALSAR,ALPSRP190600830,ALPSRP190600830-L1.1,2009-08-22T17:15:30.754Z,2009-08-22T17:15:39.288Z,L1.1,519,830,19060,ASCENDING,FBD,HH+HV,R,C1206485527-ASF,G2102664609-ASF,https://datapool.asf.alaska.edu/L1.1/A3/ALPSRP190600830-H1.1__A.zip
ALOS,PALSAR,ALPSRP230860830,ALPSRP230860830-L1.1,2010-05-25T17:14:41.987Z,2010-05-25T17:14:50.558Z,L1.1,519,830,23086,ASCENDING,FBD,HH+HV,R,C1206485527-ASF,G2171107814-ASF,https://datapool.asf.alaska.edu/L1.1/A3/ALPSRP230860830-H1.1__A.zip
ALOS,PALSAR,ALPSRP237570830,ALPSRP237570830-L1.1,2010-07-10T17:14:14.046Z,2010-07-10T17:14:22.580Z,L1.1,519,830,23757,ASCENDING,FBD,HH+HV,R,C1206485527-ASF,G2188390066-ASF,https://datapool.asf.alaska.edu/L1.1/A3/ALPSRP237570830-H1.1__A.zip
ALOS,PALSAR,ALPSRP240050830,ALPSRP240050830-L1.1,2010-07-27T17:16:11.198Z,2010-07-27T17:16:19.732Z,L1.1,520,830,24005,ASCENDING,FBD,HH+HV,R,C1206485527-ASF,G1287568726-ASF,https://datapool.asf.alaska.edu/L1.1/A3/ALPSRP240050830-H1.1__A.zip
ALOS,PALSAR,ALPSRP244280830,ALPSRP244280830-L1.1,2010-08-25T17:13:41.804Z,2010-08-25T17:13:50.338Z,L1.1,519,830,24428,ASCENDING,FBD,HH+HV,R,C1206485527-ASF,G1287876223-ASF,https://datapool.asf.alaska.edu/L1.1/A3/ALPSRP244280830-H1.1__A.zip
ALOS,PALSAR,ALPSRP250990830,ALPSRP250990830-L1.1,2010-10-10T17:13:03.047Z,2010-10-10T17:13:11.617Z,L1.1,519,830,25099,ASCENDING,FBD,HH+HV,R,C1206485527-ASF,G2208623767-ASF,https://datapool.asf.alaska.edu/L1.1/A3/ALPSRP250990830-H1.1__A.zip
