acquisition_date,scene_id,local_file,file_size_bytes,sha256,download_status
2009-08-22,ALPSRP190600830-L1.1,data/raw/ALOS_2009_2010/2009-08-22/ALPSRP190600830-H1.1__A.zip,1397043146,18a8485f73c739ac3a0508aedba2328bcf728ba078a2cb1372b46526ab328fb7,success
2010-08-25,ALPSRP244280830-L1.1,data/raw/ALOS_2009_2010/2010-08-25/ALPSRP244280830-H1.1__A.zip,1397052370,0e73cebbcbe047cfb5fb960d550677599a5d581622ffe6fb10d089cf1c37a4b1,success
