mission,sensor,expected_product,granule_id,concept_id,acquisition_start,acquisition_end,platform,instrument,orbit_number,equator_crossing_time,equator_crossing_longitude,path,frame,beam_mode,polarization,flight_direction,look_direction,processing_level,download_url,additional_attributes
ALOS,PALSAR,Level 1.1 SLC,ALPSRP190600830-L1.1,G2102664609-ASF,2009-08-22 17:15:30.754000+00:00,2009-08-22T17:15:39.288Z,ALOS,PALSAR,19060,,,519,830,FBD,HH+HV,ASCENDING,R,L1,https://datapool.asf.alaska.edu/L1.1/A3/ALPSRP190600830-H1.1__A.zip,"{""ASF_PLATFORM"": ""ALOS"", ""FRAME_NUMBER"": ""830"", ""CENTER_FRAME_ID"": ""830"", ""CENTER_ESA_FRAME"": ""840"", ""PATH_NUMBER"": ""519"", ""ASCENDING_DESCENDING"": ""ASCENDING"", ""LOOK_DIRECTION"": ""R"", ""OFF_NADIR_ANGLE"": ""34.3"", ""ACQUISITION_DATE"": ""2009-08-22T17:15:30.754Z"", ""PROCESSING_DATE"": ""2021-08-26T00:58:03.000Z"", ""CENTER_LON"": ""77.525"", ""CENTER_LAT"": ""42.08"", ""NEAR_START_LAT"": ""42.389"", ""NEAR_START_LON"": ""77.88"", ""FAR_START_LAT"": ""41.877"", ""FAR_START_LON"": ""77.998"", ""FAR_END_LAT"": ""41.769"", ""FAR_END_LON"": ""77.174"", ""NEAR_END_LAT"": ""42.282"", ""NEAR_END_LON"": ""77.048"", ""BEAM_MODE_TYPE"": ""FBD"", ""BEAM_MODE"": ""FBD"", ""BEAM_MODE_DESC"": ""ALOS PALSAR sensor: High Resolution Observation Mode (dual polarization)"", ""POLARIZATION"": ""HH+HV"", ""GRANULE_TYPE"": ""ALOS_PALSAR_SCENE"", ""PROCESSING_TYPE"": ""L1.1"", ""PROCESSING_DESCRIPTION"": ""ALOS PALSAR Level 1.1 processing level. Single-Look Complex (SLC) equally spaced on slant range.  Product generated for all non-SCANSAR data.  SLC generated and edited for each polarization of multi-polarization mode."", ""PROCESSING_LEVEL"": ""L1"", ""PROCESSING_TYPE_DISPLAY"": ""Level 1.1 Image"", ""BYTES"": ""1397043146""}"
ALOS,PALSAR,Level 1.1 SLC,ALPSRP230860830-L1.1,G2171107814-ASF,2010-05-25 17:14:41.987000+00:00,2010-05-25T17:14:50.558Z,ALOS,PALSAR,23086,,,519,830,FBD,HH+HV,ASCENDING,R,L1,https://datapool.asf.alaska.edu/L1.1/A3/ALPSRP230860830-H1.1__A.zip,"{""ASF_PLATFORM"": ""ALOS"", ""FRAME_NUMBER"": ""830"", ""CENTER_FRAME_ID"": ""830"", ""CENTER_ESA_FRAME"": ""840"", ""PATH_NUMBER"": ""519"", ""ASCENDING_DESCENDING"": ""ASCENDING"", ""LOOK_DIRECTION"": ""R"", ""OFF_NADIR_ANGLE"": ""34.3"", ""ACQUISITION_DATE"": ""2010-05-25T17:14:41.987Z"", ""PROCESSING_DATE"": ""2021-11-23T07:34:56.000Z"", ""CENTER_LON"": ""77.544"", ""CENTER_LAT"": ""42.083"", ""NEAR_START_LAT"": ""42.394"", ""NEAR_START_LON"": ""77.905"", ""FAR_START_LAT"": ""41.88"", ""FAR_START_LON"": ""78.024"", ""FAR_END_LAT"": ""41.77"", ""FAR_END_LON"": ""77.187"", ""NEAR_END_LAT"": ""42.285"", ""NEAR_END_LON"": ""77.062"", ""BEAM_MODE_TYPE"": ""FBD"", ""BEAM_MODE"": ""FBD"", ""BEAM_MODE_DESC"": ""ALOS PALSAR sensor: High Resolution Observation Mode (dual polarization)"", ""POLARIZATION"": ""HH+HV"", ""GRANULE_TYPE"": ""ALOS_PALSAR_SCENE"", ""PROCESSING_TYPE"": ""L1.1"", ""PROCESSING_DESCRIPTION"": ""ALOS PALSAR Level 1.1 processing level. Single-Look Complex (SLC) equally spaced on slant range.  Product generated for all non-SCANSAR data.  SLC generated and edited for each polarization of multi-polarization mode."", ""PROCESSING_LEVEL"": ""L1"", ""PROCESSING_TYPE_DISPLAY"": ""Level 1.1 Image"", ""BYTES"": ""1416052019""}"
ALOS,PALSAR,Level 1.1 SLC,ALPSRP237570830-L1.1,G2188390066-ASF,2010-07-10 17:14:14.046000+00:00,2010-07-10T17:14:22.580Z,ALOS,PALSAR,23757,,,519,830,FBD,HH+HV,ASCENDING,R,L1,https://datapool.asf.alaska.edu/L1.1/A3/ALPSRP237570830-H1.1__A.zip,"{""ASF_PLATFORM"": ""ALOS"", ""FRAME_NUMBER"": ""830"", ""CENTER_FRAME_ID"": ""830"", ""CENTER_ESA_FRAME"": ""840"", ""PATH_NUMBER"": ""519"", ""ASCENDING_DESCENDING"": ""ASCENDING"", ""LOOK_DIRECTION"": ""R"", ""OFF_NADIR_ANGLE"": ""34.3"", ""ACQUISITION_DATE"": ""2010-07-10T17:14:14.046Z"", ""PROCESSING_DATE"": ""2021-12-22T06:57:56.000Z"", ""CENTER_LON"": ""77.551"", ""CENTER_LAT"": ""42.081"", ""NEAR_START_LAT"": ""42.39"", ""NEAR_START_LON"": ""77.909"", ""FAR_START_LAT"": ""41.878"", ""FAR_START_LON"": ""78.027"", ""FAR_END_LAT"": ""41.77"", ""FAR_END_LON"": ""77.196"", ""NEAR_END_LAT"": ""42.282"", ""NEAR_END_LON"": ""77.071"", ""BEAM_MODE_TYPE"": ""FBD"", ""BEAM_MODE"": ""FBD"", ""BEAM_MODE_DESC"": ""ALOS PALSAR sensor: High Resolution Observation Mode (dual polarization)"", ""POLARIZATION"": ""HH+HV"", ""GRANULE_TYPE"": ""ALOS_PALSAR_SCENE"", ""PROCESSING_TYPE"": ""L1.1"", ""PROCESSING_DESCRIPTION"": ""ALOS PALSAR Level 1.1 processing level. Single-Look Complex (SLC) equally spaced on slant range.  Product generated for all non-SCANSAR data.  SLC generated and edited for each polarization of multi-polarization mode."", ""PROCESSING_LEVEL"": ""L1"", ""PROCESSING_TYPE_DISPLAY"": ""Level 1.1 Image"", ""BYTES"": ""1406613490""}"
ALOS,PALSAR,Level 1.1 SLC,ALPSRP240050830-L1.1,G1287568726-ASF,2010-07-27 17:16:11.198000+00:00,2010-07-27T17:16:19.732Z,ALOS,PALSAR,24005,,,520,830,FBD,HH+HV,ASCENDING,R,L1,https://datapool.asf.alaska.edu/L1.1/A3/ALPSRP240050830-H1.1__A.zip,"{""ASF_PLATFORM"": ""ALOS"", ""FRAME_NUMBER"": ""830"", ""CENTER_FRAME_ID"": ""830"", ""CENTER_ESA_FRAME"": ""840"", ""PATH_NUMBER"": ""520"", ""ASCENDING_DESCENDING"": ""ASCENDING"", ""LOOK_DIRECTION"": ""R"", ""OFF_NADIR_ANGLE"": ""34.3"", ""ACQUISITION_DATE"": ""2010-07-27T17:16:11.198Z"", ""PROCESSING_DATE"": ""2021-12-24T11:28:49.000Z"", ""CENTER_LON"": ""77.02"", ""CENTER_LAT"": ""42.07"", ""NEAR_START_LAT"": ""42.378"", ""NEAR_START_LON"": ""77.376"", ""FAR_START_LAT"": ""41.866"", ""FAR_START_LON"": ""77.494"", ""FAR_END_LAT"": ""41.76"", ""FAR_END_LON"": ""76.669"", ""NEAR_END_LAT"": ""42.272"", ""NEAR_END_LON"": ""76.544"", ""BEAM_MODE_TYPE"": ""FBD"", ""BEAM_MODE"": ""FBD"", ""BEAM_MODE_DESC"": ""ALOS PALSAR sensor: High Resolution Observation Mode (dual polarization)"", ""POLARIZATION"": ""HH+HV"", ""GRANULE_TYPE"": ""ALOS_PALSAR_SCENE"", ""PROCESSING_TYPE"": ""L1.1"", ""PROCESSING_DESCRIPTION"": ""ALOS PALSAR Level 1.1 processing level. Single-Look Complex (SLC) equally spaced on slant range.  Product generated for all non-SCANSAR data.  SLC generated and edited for each polarization of multi-polarization mode."", ""PROCESSING_LEVEL"": ""L1"", ""PROCESSING_TYPE_DISPLAY"": ""Level 1.1 Image"", ""BYTES"": ""1397062382""}"
ALOS,PALSAR,Level 1.1 SLC,ALPSRP244280830-L1.1,G1287876223-ASF,2010-08-25 17:13:41.804000+00:00,2010-08-25T17:13:50.338Z,ALOS,PALSAR,24428,,,519,830,FBD,HH+HV,ASCENDING,R,L1,https://datapool.asf.alaska.edu/L1.1/A3/ALPSRP244280830-H1.1__A.zip,"{""ASF_PLATFORM"": ""ALOS"", ""FRAME_NUMBER"": ""830"", ""CENTER_FRAME_ID"": ""830"", ""CENTER_ESA_FRAME"": ""840"", ""PATH_NUMBER"": ""519"", ""ASCENDING_DESCENDING"": ""ASCENDING"", ""LOOK_DIRECTION"": ""R"", ""OFF_NADIR_ANGLE"": ""34.3"", ""ACQUISITION_DATE"": ""2010-08-25T17:13:41.804Z"", ""PROCESSING_DATE"": ""2022-01-12T05:56:06.000Z"", ""CENTER_LON"": ""77.556"", ""CENTER_LAT"": ""42.077"", ""NEAR_START_LAT"": ""42.386"", ""NEAR_START_LON"": ""77.911"", ""FAR_START_LAT"": ""41.873"", ""FAR_START_LON"": ""78.029"", ""FAR_END_LAT"": ""41.767"", ""FAR_END_LON"": ""77.204"", ""NEAR_END_LAT"": ""42.279"", ""NEAR_END_LON"": ""77.079"", ""BEAM_MODE_TYPE"": ""FBD"", ""BEAM_MODE"": ""FBD"", ""BEAM_MODE_DESC"": ""ALOS PALSAR sensor: High Resolution Observation Mode (dual polarization)"", ""POLARIZATION"": ""HH+HV"", ""GRANULE_TYPE"": ""ALOS_PALSAR_SCENE"", ""PROCESSING_TYPE"": ""L1.1"", ""PROCESSING_DESCRIPTION"": ""ALOS PALSAR Level 1.1 processing level. Single-Look Complex (SLC) equally spaced on slant range.  Product generated for all non-SCANSAR data.  SLC generated and edited for each polarization of multi-polarization mode."", ""PROCESSING_LEVEL"": ""L1"", ""PROCESSING_TYPE_DISPLAY"": ""Level 1.1 Image"", ""BYTES"": ""1397052370""}"
ALOS,PALSAR,Level 1.1 SLC,ALPSRP250990830-L1.1,G2208623767-ASF,2010-10-10 17:13:03.047000+00:00,2010-10-10T17:13:11.617Z,ALOS,PALSAR,25099,,,519,830,FBD,HH+HV,ASCENDING,R,L1,https://datapool.asf.alaska.edu/L1.1/A3/ALPSRP250990830-H1.1__A.zip,"{""ASF_PLATFORM"": ""ALOS"", ""FRAME_NUMBER"": ""830"", ""CENTER_FRAME_ID"": ""830"", ""CENTER_ESA_FRAME"": ""840"", ""PATH_NUMBER"": ""519"", ""ASCENDING_DESCENDING"": ""ASCENDING"", ""LOOK_DIRECTION"": ""R"", ""OFF_NADIR_ANGLE"": ""34.3"", ""ACQUISITION_DATE"": ""2010-10-10T17:13:03.047Z"", ""PROCESSING_DATE"": ""2022-01-31T21:18:07.000Z"", ""CENTER_LON"": ""77.559"", ""CENTER_LAT"": ""42.084"", ""NEAR_START_LAT"": ""42.395"", ""NEAR_START_LON"": ""77.914"", ""FAR_START_LAT"": ""41.88"", ""FAR_START_LON"": ""78.032"", ""FAR_END_LAT"": ""41.772"", ""FAR_END_LON"": ""77.207"", ""NEAR_END_LAT"": ""42.287"", ""NEAR_END_LON"": ""77.082"", ""BEAM_MODE_TYPE"": ""FBD"", ""BEAM_MODE"": ""FBD"", ""BEAM_MODE_DESC"": ""ALOS PALSAR sensor: High Resolution Observation Mode (dual polarization)"", ""POLARIZATION"": ""HH+HV"", ""GRANULE_TYPE"": ""ALOS_PALSAR_SCENE"", ""PROCESSING_TYPE"": ""L1.1"", ""PROCESSING_DESCRIPTION"": ""ALOS PALSAR Level 1.1 processing level. Single-Look Complex (SLC) equally spaced on slant range.  Product generated for all non-SCANSAR data.  SLC generated and edited for each polarization of multi-polarization mode."", ""PROCESSING_LEVEL"": ""L1"", ""PROCESSING_TYPE_DISPLAY"": ""Level 1.1 Image"", ""BYTES"": ""1397050576""}"
