mission,scene_1,date_1,scene_2,date_2,year_1,year_2,pair_type,temporal_baseline_days,repeat_cycle_days,repeat_cycle_multiple,expected_cycle_days,cycle_difference_days,same_geometry_metadata,metadata_compared,metadata_mismatches,path_1,path_2,frame_1,frame_2,beam_1,beam_2,polarization_1,polarization_2,direction_1,direction_2,season_difference_days,target_year_pair,priority_score,reference_scene_asf,secondary_scene_asf,asf_temporal_baseline_days,perpendicular_baseline_m,baseline_status,match_method
ALOS,ALPSRP190600830-L1.1,2009-08-22 17:15:30.754000+00:00,ALPSRP244280830-L1.1,2010-08-25 17:13:41.804000+00:00,2009,2010,cross_year,368.0,46,8,368,0.0,True,"path,frame,beam_mode,polarization,flight_direction,look_direction",,519,519,830,830,FBD,FBD,HH+HV,HH+HV,ASCENDING,ASCENDING,3,True,125,ALPSRP190600830,ALPSRP244280830,,,api_query_failed,
ALOS,ALPSRP190600830-L1.1,2009-08-22 17:15:30.754000+00:00,ALPSRP237570830-L1.1,2010-07-10 17:14:14.046000+00:00,2009,2010,cross_year,322.0,46,7,322,0.0,True,"path,frame,beam_mode,polarization,flight_direction,look_direction",,519,519,830,830,FBD,FBD,HH+HV,HH+HV,ASCENDING,ASCENDING,43,True,105,ALPSRP190600830,ALPSRP237570830,,,api_query_failed,
